Step,Virtual_speed,Fusion_Speed,X,Y,Yaw,Error
0,40.00,40.18,1.11,0.06,0.05,0.178
1,40.00,40.19,2.22,0.17,0.10,0.186
2,40.00,40.19,3.33,0.35,0.16,0.186
3,40.00,40.19,4.42,0.58,0.21,0.186
4,40.00,40.19,5.50,0.86,0.26,0.186
5,40.00,40.19,6.56,1.21,0.31,0.186
6,40.00,40.19,7.60,1.60,0.36,0.186
7,40.00,40.19,8.63,2.06,0.42,0.186
8,40.00,40.19,9.62,2.56,0.47,0.186
9,40.00,40.19,10.59,3.11,0.52,0.186
10,40.00,40.19,11.53,3.72,0.57,0.186
11,40.00,40.19,12.43,4.37,0.62,0.186
12,40.00,40.19,13.31,5.07,0.68,0.186
13,40.00,40.19,14.14,5.81,0.73,0.186
14,40.00,40.19,14.93,6.60,0.78,0.186
15,40.00,40.19,15.68,7.42,0.83,0.186
16,40.00,40.19,16.39,8.29,0.88,0.186
17,40.00,40.19,17.05,9.18,0.94,0.186
18,40.00,40.19,17.67,10.12,0.99,0.186
19,40.00,40.19,18.23,11.08,1.04,0.186
20,40.00,40.19,18.75,12.07,1.09,0.186
21,40.00,40.19,19.21,13.09,1.14,0.186
22,40.00,40.19,19.62,14.12,1.20,0.186
23,40.00,40.19,19.97,15.18,1.25,0.186
24,40.00,40.19,20.27,16.26,1.30,0.186
25,40.00,40.21,20.51,17.35,1.35,0.208
26,40.00,40.21,20.70,18.45,1.40,0.208
27,40.00,40.21,20.83,19.56,1.46,0.208
28,40.00,40.21,20.90,20.67,1.51,0.208
29,40.00,40.21,20.91,21.79,1.56,0.208
30,40.00,40.21,20.86,22.91,1.61,0.208
31,40.00,40.21,20.76,24.02,1.66,0.208
32,40.00,40.21,20.60,25.12,1.72,0.208
33,40.00,40.21,20.38,26.22,1.77,0.208
34,40.00,40.21,20.10,27.30,1.82,0.208
35,40.00,40.21,19.77,28.37,1.87,0.208
36,40.00,40.21,19.39,29.42,1.92,0.208
37,40.00,40.21,18.95,30.44,1.98,0.208
38,40.00,40.21,18.45,31.45,2.03,0.208
39,40.00,40.21,17.91,32.42,2.08,0.208
40,40.00,40.21,17.31,33.37,2.13,0.208
41,40.00,40.21,16.67,34.28,2.18,0.208
42,40.00,40.21,15.98,35.16,2.24,0.208
43,40.00,40.21,15.25,36.00,2.29,0.208
44,40.00,40.21,14.47,36.80,2.34,0.208
45,40.00,40.21,13.65,37.56,2.39,0.208
46,40.00,40.21,12.80,38.28,2.44,0.208
47,40.00,40.21,11.90,38.95,2.50,0.208
48,40.00,40.21,10.98,39.58,2.55,0.208
49,40.00,40.21,10.02,40.15,2.60,0.208
50,40.00,40.21,9.06,40.73,2.60,0.208
51,40.00,40.21,8.11,41.30,2.60,0.208
52,40.00,40.21,7.15,41.88,2.60,0.208
53,40.00,40.21,6.19,42.46,2.60,0.208
54,40.00,40.21,5.24,43.03,2.60,0.208
55,40.00,40.21,4.28,43.61,2.60,0.208
56,40.00,40.21,3.32,44.18,2.60,0.208
57,40.00,40.21,2.37,44.76,2.60,0.208
58,40.00,40.21,1.41,45.34,2.60,0.208
59,40.00,40.21,0.45,45.91,2.60,0.208
60,40.00,40.21,-0.51,46.49,2.60,0.208
61,40.00,40.21,-1.46,47.06,2.60,0.208
62,40.00,40.21,-2.42,47.64,2.60,0.208
63,40.00,40.21,-3.38,48.21,2.60,0.208
64,40.00,40.21,-4.33,48.79,2.60,0.208
65,40.00,40.21,-5.29,49.37,2.60,0.208
66,40.00,40.21,-6.25,49.94,2.60,0.208
67,40.00,40.21,-7.21,50.52,2.60,0.208
68,40.00,40.21,-8.16,51.09,2.60,0.208
69,40.00,40.21,-9.12,51.67,2.60,0.208
70,40.00,40.21,-10.08,52.24,2.60,0.208
71,40.00,40.21,-11.03,52.82,2.60,0.208
72,40.00,40.21,-11.99,53.40,2.60,0.208
73,40.00,40.21,-12.95,53.97,2.60,0.208
74,40.00,40.21,-13.90,54.55,2.60,0.208
75,40.00,40.21,-14.86,55.12,2.60,0.208
76,40.00,40.21,-15.82,55.70,2.60,0.208
77,40.00,40.21,-16.78,56.27,2.60,0.208
78,40.00,40.21,-17.73,56.85,2.60,0.208
79,40.00,40.21,-18.69,57.43,2.60,0.208
80,40.00,40.21,-19.65,58.00,2.60,0.208
81,40.00,40.21,-20.60,58.58,2.60,0.208
82,40.00,40.21,-21.56,59.15,2.60,0.208
83,40.00,40.21,-22.52,59.73,2.60,0.208
84,40.00,40.21,-23.48,60.30,2.60,0.208
85,40.00,40.21,-24.43,60.88,2.60,0.208
86,40.00,40.21,-25.39,61.46,2.60,0.208
87,40.00,40.21,-26.35,62.03,2.60,0.208
88,40.00,40.21,-27.30,62.61,2.60,0.208
89,40.00,40.21,-28.26,63.18,2.60,0.208
90,40.00,40.21,-29.22,63.76,2.60,0.208
91,40.00,40.21,-30.17,64.34,2.60,0.208
92,40.00,40.21,-31.13,64.91,2.60,0.208
93,40.00,40.21,-32.09,65.49,2.60,0.208
94,40.00,40.21,-33.05,66.06,2.60,0.208
95,40.00,40.21,-34.00,66.64,2.60,0.208
96,40.00,40.21,-34.96,67.21,2.60,0.208
97,40.00,40.21,-35.92,67.79,2.60,0.208
98,40.00,40.21,-36.87,68.37,2.60,0.208
99,40.00,40.21,-37.83,68.94,2.60,0.208
